sample_uid_1,sample_uid_2,class_id_1,class_id_2,distance_m,label_conflict
Table_TrainSamples_FullFeatureSpace_2024_7,Table_TrainSamples_FullFeatureSpace_2024_662,1,1,9.765570846218225,False
Table_TrainSamples_FullFeatureSpace_2024_14,Table_TrainSamples_FullFeatureSpace_2024_708,1,1,9.76549634170145,False
Table_TrainSamples_FullFeatureSpace_2024_20,Table_TrainSamples_FullFeatureSpace_2024_760,1,1,9.945868818033206,False
Table_TrainSamples_FullFeatureSpace_2024_27,Table_TrainSamples_FullFeatureSpace_2024_754,1,1,9.7655776698062,False
Table_TrainSamples_FullFeatureSpace_2024_28,Table_TrainSamples_FullFeatureSpace_2024_681,1,1,9.945943281990065,False
Table_TrainSamples_FullFeatureSpace_2024_35,Table_TrainSamples_FullFeatureSpace_2024_689,1,1,9.756054028916633,False
Table_TrainSamples_FullFeatureSpace_2024_39,Table_TrainSamples_FullFeatureSpace_2024_711,1,1,9.94659817159636,False
Table_TrainSamples_FullFeatureSpace_2024_44,Table_TrainSamples_FullFeatureSpace_2024_659,1,1,9.946621536257464,False
Table_TrainSamples_FullFeatureSpace_2024_46,Table_TrainSamples_FullFeatureSpace_2024_692,1,1,9.755825093527772,False
Table_TrainSamples_FullFeatureSpace_2024_49,Table_TrainSamples_FullFeatureSpace_2024_755,1,1,9.946156692584944,False
Table_TrainSamples_FullFeatureSpace_2024_52,Table_TrainSamples_FullFeatureSpace_2024_701,1,1,9.946151841998967,False
Table_TrainSamples_FullFeatureSpace_2024_56,Table_TrainSamples_FullFeatureSpace_2024_729,1,1,9.94630114672149,False
Table_TrainSamples_FullFeatureSpace_2024_59,Table_TrainSamples_FullFeatureSpace_2024_680,1,1,9.757100040240104,False
Table_TrainSamples_FullFeatureSpace_2024_62,Table_TrainSamples_FullFeatureSpace_2024_739,1,1,9.75702273463997,False
Table_TrainSamples_FullFeatureSpace_2024_62,Table_TrainSamples_FullFeatureSpace_2024_657,1,1,9.945979876237482,False
Table_TrainSamples_FullFeatureSpace_2024_63,Table_TrainSamples_FullFeatureSpace_2024_690,1,1,0.0,False
Table_TrainSamples_FullFeatureSpace_2024_64,Table_TrainSamples_FullFeatureSpace_2024_663,1,1,9.756993770065868,False
Table_TrainSamples_FullFeatureSpace_2024_72,Table_TrainSamples_FullFeatureSpace_2024_667,1,1,9.756776147663935,False
Table_TrainSamples_FullFeatureSpace_2024_80,Table_TrainSamples_FullFeatureSpace_2024_748,1,1,9.945848994460892,False
Table_TrainSamples_FullFeatureSpace_2024_81,Table_TrainSamples_FullFeatureSpace_2024_685,1,1,9.757483064022265,False
Table_TrainSamples_FullFeatureSpace_2024_84,Table_TrainSamples_FullFeatureSpace_2024_741,1,1,9.945865525984013,False
Table_TrainSamples_FullFeatureSpace_2024_87,Table_TrainSamples_FullFeatureSpace_2024_745,1,1,9.945892270761064,False
Table_TrainSamples_FullFeatureSpace_2024_88,Table_TrainSamples_FullFeatureSpace_2024_710,1,1,9.7574133402716,False
Table_TrainSamples_FullFeatureSpace_2024_89,Table_TrainSamples_FullFeatureSpace_2024_660,1,1,9.94581984525727,False
Table_TrainSamples_FullFeatureSpace_2024_93,Table_TrainSamples_FullFeatureSpace_2024_668,1,1,9.945764707163367,False
Table_TrainSamples_FullFeatureSpace_2024_96,Table_TrainSamples_FullFeatureSpace_2024_665,1,1,9.945027406374711,False
Table_TrainSamples_FullFeatureSpace_2024_99,Table_TrainSamples_FullFeatureSpace_2024_688,1,1,9.944994455715522,False
Table_TrainSamples_FullFeatureSpace_2024_100,Table_TrainSamples_FullFeatureSpace_2024_867,2,2,9.945871407164987,False
Table_TrainSamples_FullFeatureSpace_2024_101,Table_TrainSamples_FullFeatureSpace_2024_905,2,2,9.7655691601185,False
Table_TrainSamples_FullFeatureSpace_2024_102,Table_TrainSamples_FullFeatureSpace_2024_849,2,2,9.765642725725222,False
Table_TrainSamples_FullFeatureSpace_2024_104,Table_TrainSamples_FullFeatureSpace_2024_786,2,2,9.946457322302631,False
Table_TrainSamples_FullFeatureSpace_2024_105,Table_TrainSamples_FullFeatureSpace_2024_774,2,2,9.946117496992517,False
Table_TrainSamples_FullFeatureSpace_2024_105,Table_TrainSamples_FullFeatureSpace_2024_873,2,2,9.946117496992517,False
Table_TrainSamples_FullFeatureSpace_2024_105,Table_TrainSamples_FullFeatureSpace_2024_962,2,2,9.946117496992517,False
Table_TrainSamples_FullFeatureSpace_2024_105,Table_TrainSamples_FullFeatureSpace_2024_899,2,2,9.756547064251597,False
Table_TrainSamples_FullFeatureSpace_2024_106,Table_TrainSamples_FullFeatureSpace_2024_885,2,2,9.75685287808322,False
Table_TrainSamples_FullFeatureSpace_2024_109,Table_TrainSamples_FullFeatureSpace_2024_1392,5,5,9.756606069655989,False
Table_TrainSamples_FullFeatureSpace_2024_111,Table_TrainSamples_FullFeatureSpace_2024_1494,5,5,9.75663741563015,False
Table_TrainSamples_FullFeatureSpace_2024_112,Table_TrainSamples_FullFeatureSpace_2024_1505,5,5,9.946253078447533,False
Table_TrainSamples_FullFeatureSpace_2024_115,Table_TrainSamples_FullFeatureSpace_2024_1468,5,5,9.756746477468507,False
Table_TrainSamples_FullFeatureSpace_2024_119,Table_TrainSamples_FullFeatureSpace_2024_1513,5,5,9.756752246186677,False
Table_TrainSamples_FullFeatureSpace_2024_120,Table_TrainSamples_FullFeatureSpace_2024_1416,5,5,9.756738881465933,False
Table_TrainSamples_FullFeatureSpace_2024_120,Table_TrainSamples_FullFeatureSpace_2024_1466,5,5,0.0,False
Table_TrainSamples_FullFeatureSpace_2024_125,Table_TrainSamples_FullFeatureSpace_2024_1471,5,5,9.757964738425956,False
Table_TrainSamples_FullFeatureSpace_2024_129,Table_TrainSamples_FullFeatureSpace_2024_1501,5,5,9.946683704246555,False
Table_TrainSamples_FullFeatureSpace_2024_131,Table_TrainSamples_FullFeatureSpace_2024_1492,5,5,9.757306374109673,False
Table_TrainSamples_FullFeatureSpace_2024_139,Table_TrainSamples_FullFeatureSpace_2024_1488,5,5,9.757283742162638,False
Table_TrainSamples_FullFeatureSpace_2024_144,Table_TrainSamples_FullFeatureSpace_2024_1490,5,5,9.946413053195867,False
Table_TrainSamples_FullFeatureSpace_2024_145,Table_TrainSamples_FullFeatureSpace_2024_1413,5,5,9.75724969627499,False
Table_TrainSamples_FullFeatureSpace_2024_151,Table_TrainSamples_FullFeatureSpace_2024_1474,5,5,9.946381047512707,False
Table_TrainSamples_FullFeatureSpace_2024_153,Table_TrainSamples_FullFeatureSpace_2024_1495,5,5,9.757099392707731,False
Table_TrainSamples_FullFeatureSpace_2024_155,Table_TrainSamples_FullFeatureSpace_2024_1498,5,5,9.945807508740657,False
Table_TrainSamples_FullFeatureSpace_2024_162,Table_TrainSamples_FullFeatureSpace_2024_1484,5,5,9.765675011446953,False
Table_TrainSamples_FullFeatureSpace_2024_164,Table_TrainSamples_FullFeatureSpace_2024_1496,5,5,9.765646831558499,False
Table_TrainSamples_FullFeatureSpace_2024_168,Table_TrainSamples_FullFeatureSpace_2024_1477,5,5,9.765622096427117,False
Table_TrainSamples_FullFeatureSpace_2024_172,Table_TrainSamples_FullFeatureSpace_2024_1449,5,5,9.9458632898557,False
Table_TrainSamples_FullFeatureSpace_2024_184,Table_TrainSamples_FullFeatureSpace_2024_1427,5,5,9.946182411338237,False
Table_TrainSamples_FullFeatureSpace_2024_184,Table_TrainSamples_FullFeatureSpace_2024_1400,5,5,9.756780439415763,False
Table_TrainSamples_FullFeatureSpace_2024_184,Table_TrainSamples_FullFeatureSpace_2024_1476,5,5,9.756780439415763,False
Table_TrainSamples_FullFeatureSpace_2024_184,Table_TrainSamples_FullFeatureSpace_2024_1388,5,5,9.946182411338237,False
Table_TrainSamples_FullFeatureSpace_2024_187,Table_TrainSamples_FullFeatureSpace_2024_1387,5,5,9.94619191009313,False
Table_TrainSamples_FullFeatureSpace_2024_188,Table_TrainSamples_FullFeatureSpace_2024_1403,5,5,9.946191869770452,False
Table_TrainSamples_FullFeatureSpace_2024_188,Table_TrainSamples_FullFeatureSpace_2024_1398,5,5,9.75676559948967,False
Table_TrainSamples_FullFeatureSpace_2024_190,Table_TrainSamples_FullFeatureSpace_2024_1526,6,6,9.947423233764878,False
Table_TrainSamples_FullFeatureSpace_2024_194,Table_TrainSamples_FullFeatureSpace_2024_1516,6,6,9.763239227267375,False
Table_TrainSamples_FullFeatureSpace_2024_199,Table_TrainSamples_FullFeatureSpace_2024_1613,6,6,9.76303902187212,False
Table_TrainSamples_FullFeatureSpace_2024_200,Table_TrainSamples_FullFeatureSpace_2024_1597,6,6,9.947343833843775,False
Table_TrainSamples_FullFeatureSpace_2024_203,Table_TrainSamples_FullFeatureSpace_2024_1608,6,6,9.947333901262702,False
Table_TrainSamples_FullFeatureSpace_2024_204,Table_TrainSamples_FullFeatureSpace_2024_1564,6,6,9.94731785582706,False
Table_TrainSamples_FullFeatureSpace_2024_206,Table_TrainSamples_FullFeatureSpace_2024_1572,6,6,9.76305417793672,False
Table_TrainSamples_FullFeatureSpace_2024_207,Table_TrainSamples_FullFeatureSpace_2024_1535,6,6,9.947337825076398,False
Table_TrainSamples_FullFeatureSpace_2024_208,Table_TrainSamples_FullFeatureSpace_2024_1540,6,6,9.762953976971747,False
Table_TrainSamples_FullFeatureSpace_2024_212,Table_TrainSamples_FullFeatureSpace_2024_1561,6,6,9.762934700640143,False
Table_TrainSamples_FullFeatureSpace_2024_213,Table_TrainSamples_FullFeatureSpace_2024_1518,6,6,9.9473052818596,False
Table_TrainSamples_FullFeatureSpace_2024_214,Table_TrainSamples_FullFeatureSpace_2024_1519,6,6,9.947318055525741,False
Table_TrainSamples_FullFeatureSpace_2024_214,Table_TrainSamples_FullFeatureSpace_2024_1549,6,6,9.762938230469807,False
Table_TrainSamples_FullFeatureSpace_2024_221,Table_TrainSamples_FullFeatureSpace_2024_1558,6,6,9.762787865770186,False
Table_TrainSamples_FullFeatureSpace_2024_224,Table_TrainSamples_FullFeatureSpace_2024_1598,6,6,9.762733533289222,False
Table_TrainSamples_FullFeatureSpace_2024_225,Table_TrainSamples_FullFeatureSpace_2024_1615,6,6,9.947330475274251,False
Table_TrainSamples_FullFeatureSpace_2024_227,Table_TrainSamples_FullFeatureSpace_2024_1527,6,6,9.94729956660807,False
Table_TrainSamples_FullFeatureSpace_2024_227,Table_TrainSamples_FullFeatureSpace_2024_1531,6,6,9.762701913153563,False
Table_TrainSamples_FullFeatureSpace_2024_246,Table_TrainSamples_FullFeatureSpace_2024_1606,6,6,9.94481679234706,False
Table_TrainSamples_FullFeatureSpace_2024_257,Table_TrainSamples_FullFeatureSpace_2024_1596,6,6,9.757589658670188,False
Table_TrainSamples_FullFeatureSpace_2024_260,Table_TrainSamples_FullFeatureSpace_2024_1517,6,6,9.757499689733494,False
Table_TrainSamples_FullFeatureSpace_2024_263,Table_TrainSamples_FullFeatureSpace_2024_1570,6,6,9.946696191066353,False
Table_TrainSamples_FullFeatureSpace_2024_264,Table_TrainSamples_FullFeatureSpace_2024_1582,6,6,9.75740580983026,False
